url_path,views_total,views_unique
/abhinav12k/Drunkyard/tree/master/app,9,3
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,9,2
/abhinav12k/Drunkyard/tree/master/app/src,8,3
/abhinav12k/Drunkyard/tree/master/app/src/main,8,3
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/presentation,8,2
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/presentation/MainActivity.kt,4,2
/abhinav12k/Drunkyard,3,1
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/di,3,1
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/presentation/drinkDetail,3,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/di/AppModule.kt,2,1
